Song,Artist,Country,Peak
No Broke Boys,"Disco Lines, Tinashe",United States of America,19
No Broke Boys,"Disco Lines, Tinashe",United Kingdom,15
No Broke Boys,"Disco Lines, Tinashe",Australia,2
No Broke Boys,"Disco Lines, Tinashe",Canada,7
No Broke Boys,"Disco Lines, Tinashe",Germany,6
No Broke Boys,"Disco Lines, Tinashe",Ireland,2
No Broke Boys,"Disco Lines, Tinashe",Netherlands,16
No Broke Boys,"Disco Lines, Tinashe",Poland,31
No Broke Boys,"Disco Lines, Tinashe",New Zealand,5
No Broke Boys,"Disco Lines, Tinashe",France,77
No Broke Boys,"Disco Lines, Tinashe",Sweden,19
No Broke Boys,"Disco Lines, Tinashe",Belgium,7
No Broke Boys,"Disco Lines, Tinashe",Austria,3
No Broke Boys,"Disco Lines, Tinashe",Norway,35
No Broke Boys,"Disco Lines, Tinashe",Czech Republic,10
No Broke Boys,"Disco Lines, Tinashe",Switzerland,5
No Broke Boys,"Disco Lines, Tinashe",Denmark,60
No Broke Boys,"Disco Lines, Tinashe",Hungary,40
No Broke Boys,"Disco Lines, Tinashe",Singapore,65
No Broke Boys,"Disco Lines, Tinashe",South Korea,16
No Broke Boys,"Disco Lines, Tinashe",Slovakia,10
No Broke Boys,"Disco Lines, Tinashe",Lithuania,123
No Broke Boys,"Disco Lines, Tinashe",Finland,4
No Broke Boys,"Disco Lines, Tinashe",Latvia,183
No Broke Boys,"Disco Lines, Tinashe",Italy,130
No Broke Boys,"Disco Lines, Tinashe",Portugal,15
No Broke Boys,"Disco Lines, Tinashe",Estonia,23
No Broke Boys,"Disco Lines, Tinashe",United Arab Emirates,29
No Broke Boys,"Disco Lines, Tinashe",Iceland,81
No Broke Boys,"Disco Lines, Tinashe",Bulgaria,169
No Broke Boys,"Disco Lines, Tinashe",Hong Kong,40
No Broke Boys,"Disco Lines, Tinashe",Cyprus,15
Ordinary,Alex Warren,United States of America,4
Ordinary,Alex Warren,United Kingdom,1
Ordinary,Alex Warren,Germany,3
Ordinary,Alex Warren,Netherlands,1
Ordinary,Alex Warren,Australia,1
Ordinary,Alex Warren,Canada,1
Ordinary,Alex Warren,Norway,1
Ordinary,Alex Warren,Sweden,4
Ordinary,Alex Warren,Denmark,2
Ordinary,Alex Warren,Ireland,1
Ordinary,Alex Warren,Belgium,2
Ordinary,Alex Warren,France,54
Ordinary,Alex Warren,Switzerland,1
Ordinary,Alex Warren,Poland,24
Ordinary,Alex Warren,Austria,2
Ordinary,Alex Warren,New Zealand,1
Ordinary,Alex Warren,Italy,47
Ordinary,Alex Warren,South Africa,7
Ordinary,Alex Warren,Czech Republic,5
Ordinary,Alex Warren,Finland,34
Ordinary,Alex Warren,Portugal,17
Ordinary,Alex Warren,Hungary,5
Ordinary,Alex Warren,Spain,121
Ordinary,Alex Warren,Slovakia,9
Ordinary,Alex Warren,Nigeria,85
Ordinary,Alex Warren,Singapore,45
Ordinary,Alex Warren,United Arab Emirates,14
Ordinary,Alex Warren,Israel,65
Ordinary,Alex Warren,Latvia,2
Ordinary,Alex Warren,Lithuania,19
Ordinary,Alex Warren,Estonia,5
Ordinary,Alex Warren,Iceland,9
Ordinary,Alex Warren,Romania,91
Ordinary,Alex Warren,Luxembourg,1
Ordinary,Alex Warren,Malaysia,196
Ordinary,Alex Warren,Greece,184
Ordinary,Alex Warren,Cyprus,18
Ordinary,Alex Warren,Bulgaria,94
Ordinary,Alex Warren,Panama,159
Ordinary,Alex Warren,Hong Kong,185
Ordinary,Alex Warren,Saudi Arabia,180
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",United States of America,2
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Philippines,27
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",United Kingdom,10
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Australia,4
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Germany,10
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Canada,3
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Poland,18
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Malaysia,3
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",France,148
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Netherlands,9
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Taiwan,40
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",South Korea,6
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Norway,6
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Chile,8
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",New Zealand,107
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Thailand,3
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",South Africa,92
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Spain,35
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Italy,177
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Denmark,180
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Czech Republic,38
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Belgium,20
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Ireland,52
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Austria,17
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Hong Kong,11
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Switzerland,19
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Finland,29
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Portugal,57
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Romania,72
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Israel,30
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",United Arab Emirates,85
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Peru,11
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Slovakia,183
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Greece,23
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Saudi Arabia,177
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Ukraine,64
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Bulgaria,52
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Lithuania,22
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Panama,40
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Kazakhstan,107
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Latvia,38
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Pakistan,18
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Iceland,146
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Venezuela,15
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Estonia,155
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Dominican Republic,35
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Bolivia,174
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Cyprus,171
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Luxembourg,60
undressed,sombr,United States of America,3
undressed,sombr,United Kingdom,2
undressed,sombr,Australia,2
undressed,sombr,Germany,20
undressed,sombr,Canada,3
undressed,sombr,Philippines,98
undressed,sombr,Netherlands,13
undressed,sombr,Poland,13
undressed,sombr,New Zealand,6
undressed,sombr,France,108
undressed,sombr,Norway,2
undressed,sombr,Sweden,16
undressed,sombr,Ireland,7
undressed,sombr,Belgium,15
undressed,sombr,Czech Republic,18
undressed,sombr,Austria,65
undressed,sombr,Switzerland,58
undressed,sombr,Singapore,60
undressed,sombr,Denmark,24
undressed,sombr,Malaysia,79
undressed,sombr,Finland,25
undressed,sombr,Hungary,77
undressed,sombr,Portugal,106
undressed,sombr,Slovakia,18
undressed,sombr,Romania,5
undressed,sombr,Israel,161
undressed,sombr,United Arab Emirates,79
undressed,sombr,Latvia,115
undressed,sombr,South Africa,117
undressed,sombr,Hong Kong,15
undressed,sombr,Ukraine,43
undressed,sombr,Estonia,79
undressed,sombr,Iceland,44
undressed,sombr,Bulgaria,25
Golden,"HUNTR/X, Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",United States of America,1
Golden,"HUNTR/X, Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Philippines,3
Golden,"HUNTR/X, Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Germany,1
Golden,"HUNTR/X, Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",United Kingdom,3
Golden,"HUNTR/X, Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Australia,1
